time,open,high,low,close,volume
2024-12-12 21:44:00+09:00,2.4150,2.4189,2.4150,2.4183,279145.1
2024-12-12 21:45:00+09:00,2.4184,2.4200,2.4170,2.4170,361136.0
2024-12-12 21:46:00+09:00,2.4171,2.4199,2.4155,2.4199,469161.6
2024-12-12 21:47:00+09:00,2.4199,2.4219,2.4176,2.4198,419123.5
2024-12-12 21:48:00+09:00,2.4198,2.4238,2.4196,2.4228,964613.6
2024-12-12 21:49:00+09:00,2.4228,2.4233,2.4217,2.4228,577196.6
2024-12-12 21:50:00+09:00,2.4228,2.4373,2.4223,2.4353,9639285.1
2024-12-12 21:51:00+09:00,2.4353,2.4410,2.4350,2.4385,4149950.6
2024-12-12 21:52:00+09:00,2.4385,2.4388,2.4350,2.4351,2737218.0
2024-12-12 21:53:00+09:00,2.4351,2.4372,2.4312,2.4327,1902776.8
2024-12-12 21:54:00+09:00,2.4327,2.4362,2.4310,2.4330,1229053.1
2024-12-12 21:55:00+09:00,2.4330,2.4343,2.4290,2.4315,1224210.6
2024-12-12 21:56:00+09:00,2.4314,2.4502,2.4293,2.4464,8007632.7
2024-12-12 21:57:00+09:00,2.4464,2.4468,2.4405,2.4417,2785347.1
2024-12-12 21:58:00+09:00,2.4416,2.4428,2.4400,2.4401,2084139.6
2024-12-12 21:59:00+09:00,2.4401,2.4430,2.4400,2.4419,1641083.1
2024-12-12 22:00:00+09:00,2.4420,2.4430,2.4401,2.4405,1175579.4
2024-12-12 22:01:00+09:00,2.4406,2.4443,2.4404,2.4443,1339638.2
2024-12-12 22:02:00+09:00,2.4443,2.4484,2.4414,2.4414,1674838.4
2024-12-12 22:03:00+09:00,2.4414,2.4420,2.4386,2.4405,2235382.3
2024-12-12 22:04:00+09:00,2.4404,2.4405,2.4343,2.4349,1445568.8
2024-12-12 22:05:00+09:00,2.4349,2.4420,2.4346,2.4419,970780.9
2024-12-12 22:06:00+09:00,2.4419,2.4442,2.4396,2.4424,903462.6
2024-12-12 22:07:00+09:00,2.4424,2.4466,2.4424,2.4438,902866.0
2024-12-12 22:08:00+09:00,2.4438,2.4456,2.4423,2.4427,1073502.0
2024-12-12 22:09:00+09:00,2.4427,2.4428,2.4387,2.4419,1162405.6
2024-12-12 22:10:00+09:00,2.4420,2.4420,2.4382,2.4383,691317.3
2024-12-12 22:11:00+09:00,2.4383,2.4397,2.4360,2.4386,696389.6
2024-12-12 22:12:00+09:00,2.4387,2.4387,2.4360,2.4363,494034.1
2024-12-12 22:13:00+09:00,2.4364,2.4373,2.4351,2.4354,1167849.6
2024-12-12 22:14:00+09:00,2.4354,2.4373,2.4337,2.4361,772076.9
2024-12-12 22:15:00+09:00,2.4362,2.4406,2.4352,2.4387,836158.1
2024-12-12 22:16:00+09:00,2.4388,2.4405,2.4365,2.4381,924443.2
2024-12-12 22:17:00+09:00,2.4381,2.4415,2.4381,2.4404,1205930.9
2024-12-12 22:18:00+09:00,2.4405,2.4450,2.4391,2.4447,1227817.7
2024-12-12 22:19:00+09:00,2.4447,2.4452,2.4403,2.4439,1803276.6
2024-12-12 22:20:00+09:00,2.4440,2.4457,2.4428,2.4440,1358178.7
2024-12-12 22:21:00+09:00,2.4440,2.4440,2.4396,2.4411,1472295.1
2024-12-12 22:22:00+09:00,2.4411,2.4419,2.4396,2.4408,1316060.1
2024-12-12 22:23:00+09:00,2.4407,2.4446,2.4403,2.4413,1108163.8
2024-12-12 22:24:00+09:00,2.4412,2.4422,2.4360,2.4370,1628504.7
2024-12-12 22:25:00+09:00,2.4370,2.4396,2.4344,2.4388,1935856.3
2024-12-12 22:26:00+09:00,2.4389,2.4428,2.4376,2.4409,981067.3
2024-12-12 22:27:00+09:00,2.4408,2.4419,2.4391,2.4415,466060.5
2024-12-12 22:28:00+09:00,2.4414,2.4432,2.4378,2.4409,1441459.4
